GameFileName,GameName,Manufact,GameYear,NumPlayers,GameType,Category,GameTheme,WebLinkURL,IPDBNum,AltRunMode,DesignedBy,Author,GAMEVER,Rom,Tags,VPS-ID
"301 Bullseye (Grand Products  1986) JPSalas 1.0.0","301 Bullseye (Grand Products  1986)",Grand Products ,1986,,SS,,"Sports, Darts",,,,,"JPSalas",1.0.0,bullseye,,YiXk8bsCV2
"4 Aces (Williams 1970) JPSalas 1.0.2","4 Aces (Williams 1970)",Williams,1970,2,EM,,"Cards, Gambling","https://www.ipdb.org/machine.cgi?id=928",928,,"Steve Kordek","JPSalas",1.0.2,,,WdhuHU_Jvr
"4 Queens (Bally 1970) Margoni 1.0","4 Queens (Bally 1970)",Bally,1970,1,EM,,"Cards, Happiness","http://www.ipdb.org/machine.cgi?id=936",936,,"Jim Patla","Margoni",1.0,,,U2nK5LF5jm
"4 Queens (Bally 1970) Loserman76 2.0a MOD","4 Queens (Bally 1970)",Bally,1970,1,EM,,"Cards, Happiness","http://www.ipdb.org/machine.cgi?id=936",936,,"Jim Patla","Loserman76, -=Kees=-",2.0a,,"MOD",vSrIXeUC
"4 Queens (Bally 1970) Singinfool64 1.1 MOD","4 Queens (Bally 1970)",Bally,1970,1,EM,,"Cards, Happiness","http://www.ipdb.org/machine.cgi?id=936",936,,"Jim Patla","Singinfool64, Loserman76, -=Kees=-",1.1,,"MOD",RKtOdfTH
"4 Queens (Bally 1970) -=Kees=- 1.01","4 Queens (Bally 1970)",Bally,1970,1,EM,,"Cards, Happiness","http://www.ipdb.org/machine.cgi?id=936",936,,"Jim Patla","-=Kees=-",1.01,,,j76bd-z1Hz
"4 Roses (Williams 1962) Foxyt 1.05 MOD","4 Roses (Williams 1962)",Williams,1962,1,EM,,"Pageantry","https://www.ipdb.org/machine.cgi?id=938",938,,"Steve Kordek","Foxyt, Balater",1.05,,"MOD",iqXz1YnJ
"4 Roses (Williams 1962) Balater 1.04","4 Roses (Williams 1962)",Williams,1962,1,EM,,"Pageantry","https://www.ipdb.org/machine.cgi?id=938",938,,"Steve Kordek","Balater",1.04,,,i9f19gIR
"4 Roses (Williams 1962) Margoni 1.0","4 Roses (Williams 1962)",Williams,1962,1,EM,,"Pageantry","https://www.ipdb.org/machine.cgi?id=938",938,,"Steve Kordek","Margoni",1.0,,,1RJWWHdQHS
"4 Square (Gottlieb 1971) Margoni 2.0","4 Square (Gottlieb 1971)",Gottlieb,1971,1,EM,,"Dancing, Happiness, Music, Psychedelic","https://www.ipdb.org/machine.cgi?id=940",940,,"Ed Krynski","Margoni",2.0,,,U-UujoV7WY
"4 Square (Gottlieb 1971) Teisen 1.0 MOD","4 Square (Gottlieb 1971)",Gottlieb,1971,1,EM,,"Dancing, Happiness, Music, Psychedelic","https://www.ipdb.org/machine.cgi?id=940",940,,"Ed Krynski","Teisen, Loserman76, Wildman, HauntFreaks, BorgDog, GNance, JPSalas, Pinuck",1.0,,"MOD",jAsCnsExSI
"4 Square (Gottlieb 1971) Loserman76 1.0.0f","4 Square (Gottlieb 1971)",Gottlieb,1971,1,EM,,"Dancing, Happiness, Music, Psychedelic","https://www.ipdb.org/machine.cgi?id=940",940,,"Ed Krynski","Loserman76, GNance, Pinuck, BorgDog, HauntFreaks, JPSalas",1.0.0f,,,c3U3NQNL
"4X4 (Atari 1983) TheGhost787 1.0","4X4 (Atari 1983)",Atari,1983,4,SS,,"Cars","http://www.ipdb.org/machine.cgi?id=3111",3111,,"Milt Loper","TheGhost787",1.0,fourx4,,QavDV54N
"50_50 (Bally 1965) Leon Spalding 1.a","50_50 (Bally 1965)",Bally,1965,2,EM,,"Fun Park","https://www.ipdb.org/machine.cgi?id=842",842,,"Ted Zale","Leon Spalding",1.a,,,kMelEC_hFi
"8 Ball (Williams 1952) Popotte 1.01 MOD","8 Ball (Williams 1952)",Williams,1952,,EM,,"Sports, Billiards",,,,"Harry Williams","Popotte",1.01,,"MOD",Gp2y9TcsJ9
"8 Ball (Williams 1952) Popotte 1.0","8 Ball (Williams 1952)",Williams,1952,,EM,,"Sports, Billiards",,,,"Harry Williams","Popotte",1.0,,,mM7s-smhZk
"8 Ball (Williams 1966) Loserman76 1.0","8 Ball (Williams 1966)",Williams,1966,2,EM,,"Billiards","https://www.ipdb.org/machine.cgi?id=764",764,,"Norm Clark","Loserman76, GNance, Wrd1972",1.0,,,31oCQ-BL
"8 Ball (Williams 1966) Margoni 1.0","8 Ball (Williams 1966)",Williams,1966,2,EM,,"Billiards","https://www.ipdb.org/machine.cgi?id=764",764,,"Norm Clark","Margoni",1.0,,,q0lDgv1ddV
"A Christmas Carol Pinball (Original 2020) Stevegooner1234 06142023 MOD","A Christmas Carol Pinball (Original 2020)",Original,2020,4,SS,,"Licensed Theme, Movie, Christmas",,,,,"Stevegooner1234, Xenonph, Wildman, Lizard",06142023,,"Music, MOD",qeDM8b0g
"A Real American Hero - Operation P.I.N.B.A.L.L. (Original 2022) Xenonph 2.1 MOD","A Real American Hero - Operation P.I.N.B.A.L.L. (Original 2022)",Original,2022,,SS,,"Toy Franchise, Kids",,,,,"Xenonph, Lizard, Slydog43, Thalamus, Stefanaustria (STAT), GTXJoe, Allknowing2012, JPSalas",2.1,playboyb,"Music, MOD, Kids",_KXlqEFX
"A Real American Hero - Operation P.I.N.B.A.L.L. (Original 2022) Xenonph 2.1-redux MOD","A Real American Hero - Operation P.I.N.B.A.L.L. (Original 2022)",Original,2022,,SS,,"Toy Franchise, Kids",,,,,"Xenonph, Lizard, Slydog43, Thalamus, Stefanaustria (STAT), GTXJoe, Allknowing2012, JPSalas",2.1-redux,playboyb,"Kids, Music, MOD",0Rxh6B5G52
"Table 165","A Samurai’s Vengeance (Zen Studios 2023)",Zen Studios,2023,,,,"World Culture",,,,,"Zen Studios",,,,N4kr_a9zOQ
"A-Go-Go (Williams 1966) PinPlayer 1.2","A-Go-Go (Williams 1966)",Williams,1966,4,EM,,"Happiness, Dancing","https://www.ipdb.org/machine.cgi?id=27",27,,"Norm Clark","PinPlayer",1.2,,,dc_uxjjW
"ABBA (Original 2020) Grayghost27053 2.0","ABBA (Original 2020)",Original,2020,,SS,,"Music",,,,,"Grayghost27053, Stefanaustria (STAT), Slydog43, JPSalas",2.0,vortex,,PW62Ulxx
"ABBA (Original 2020) Djchiccomix 1.0 MOD","ABBA (Original 2020)",Original,2020,,SS,,"Music",,,,,"Djchiccomix",1.0,vortex,"Music, MOD",uXXdWqEP
"AC_DC (Original 2012) Goldchicco 1.0 SSF","AC_DC (Original 2012)",Original,2012,,SS,,"Licensed Theme, Music",,,,,"Goldchicco, JPSalas, Grizz, Destruk, Doogie, Arngrim",1.0,,"SSF, FlexDMD, Music",s7_F1d9EzQ
"AC_DC Back in Black - Limited Edition (Stern 2012) Ninuzzu 1.5 SSF","AC_DC Back in Black - Limited Edition (Stern 2012)",Stern,2012,,SS,,"Licensed Theme, Music","https://www.ipdb.org/machine.cgi?id=5777",5777,,"Steve Ritchie","Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.5,acd_170h,"SSF, FastFlips",6cmA5qu0X9
"AC_DC LUCI - Vault Edition (Stern 2018) Ninuzzu 1.5 SSF","AC_DC LUCI - Vault Edition (Stern 2018)",Stern,2018,,SS,,"Licensed Theme, Music","https://www.ipdb.org/machine.cgi?id=6502",6502,,"Steve Ritchie","Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.5,acd_170h,"FastFlips, SSF",wZkuBN4Co7
"AC_DC LUCI Premium (Stern 2013) VPin Workshop (VPW) 1.1 VR","AC_DC LUCI Premium (Stern 2013)",Stern,2013,4,SS,,"Licensed Theme, Music","https://www.ipdb.org/machine.cgi?id=6060",6060,,"Steve Ritchie","VPin Workshop (VPW), Fluffhead35, nFozzy, Tomate, Retro27, Schlabber34, Bietekwiet, PinstratsDan, BountyBob, DJRobX, Dark, Tom Tower, Knorr, Rysr, Peter J, Javier, Sixtoe, Apophis, Ninuzzu, HauntFreaks",1.1,acd_170h,"Hybrid, VR, FSS, 4k, Music, nFozzy, Fleep",butCgIcLzI
"AC_DC LUCI Premium (Stern 2013) Balutito 1.2 MOD","AC_DC LUCI Premium (Stern 2013)",Stern,2013,4,SS,,"Licensed Theme, Music","https://www.ipdb.org/machine.cgi?id=6060",6060,,"Steve Ritchie","Balutito, Ninuzzu",1.2,acd_170h,"MOD",gSfRsrEdA0
"AC_DC LUCI Premium (Stern 2013) Ninuzzu 1.5 SSF MOD","AC_DC LUCI Premium (Stern 2013)",Stern,2013,4,SS,,"Licensed Theme, Music","https://www.ipdb.org/machine.cgi?id=6060",6060,,"Steve Ritchie","Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.5,acd_170h,"FastFlips, SSF, MOD",LahrbarV
"AC_DC Let There Be Rock - Limited Edition (Stern 2012) Ninuzzu 1.5 SSF","AC_DC Let There Be Rock - Limited Edition (Stern 2012)",Stern,2012,,SS,,"Licensed Theme, Music","https://www.ipdb.org/machine.cgi?id=5776",5776,,"Steve Ritchie","Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.5,acd_170h,"FastFlips, SSF",VXDslC2VHJ
"AC_DC PWR Up Edition (Original 2022) Djules 1.0.0 MOD","AC_DC PWR Up Edition (Original 2022)",Original,2022,,SS,,"Licensed Theme, Music",,,,"Steve Ritchie","Djules, Britman, Movieguru, Mark G, Freezy, Ninuzzu",1.0.0,acd_170c.zip,"MOD, Music",b7K2IqCHCB
"AC_DC PWR Up Edition (Original 2022) Britman 1.01 MOD","AC_DC PWR Up Edition (Original 2022)",Original,2022,,SS,,"Licensed Theme, Music",,,,"Steve Ritchie","Britman, Movieguru, Mark G, Freezy, Ninuzzu",1.01,acd_170c.zip,"MOD, Music",X8LdfyNfY5
"AC_DC Premium (Stern 2012) Drhotwing 1.0 MOD VR","AC_DC Premium (Stern 2012)",Stern,2012,,SS,,"Licensed Theme, Music","https://www.ipdb.org/machine.cgi?id=5775",5775,,"Steve Ritchie","Drhotwing, Ninuzzu",1.0,acd_170h,"VR, MOD",uFIHgv90OM
"AC_DC Premium (Stern 2012) Ninuzzu 1.5 SSF","AC_DC Premium (Stern 2012)",Stern,2012,,SS,,"Licensed Theme, Music","https://www.ipdb.org/machine.cgi?id=5775",5775,,"Steve Ritchie","Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.5,acd_170h,"FastFlips, SSF",D1RnYimjsX
"AC_DC Pro (Stern 2012) Ninuzzu 1.0 SSF","AC_DC Pro (Stern 2012)",Stern,2012,,SS,,"Licensed Theme, Music","https://www.ipdb.org/machine.cgi?id=5767",5767,,"Steve Ritchie","Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.0,acd_170h,"SSF, FastFlips",tAGSODu8x-
"AC_DC Pro (Stern 2012) Zedonius 1.21 MOD","AC_DC Pro (Stern 2012)",Stern,2012,,SS,,"Licensed Theme, Music","https://www.ipdb.org/machine.cgi?id=5767",5767,,"Steve Ritchie","Zedonius, Francisco666, rom",1.21,acd_170h,"MOD",ixxXOqm0lU
"AC_DC Pro - Vault Edition (Stern 2017) Ninuzzu 1.0 SSF","AC_DC Pro - Vault Edition (Stern 2017)",Stern,2017,,SS,,"Licensed Theme, Music","https://www.ipdb.org/machine.cgi?id=6439",6439,,"Steve Ritchie","Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.0,acd_170h,"SSF, FastFlips",zFOcOPpA2Y
"Aaron Spelling (Data East 1992) Balater 1.02","Aaron Spelling (Data East 1992)",Data East,1992,4,SS,,"TV Show, Celebrities","http://www.ipdb.org/machine.cgi?id=4339",4339,,"Joe Kaminkow, Ed Cebula","Balater",1.02,aar_101,,YS5Mj1_B
"Abra Ca Dabra (Gottlieb 1975) NitroNimbus 2.0 MOD","Abra Ca Dabra (Gottlieb 1975)",Gottlieb,1975,1,EM,,"Fantasy, Wizards, Magic","http://www.ipdb.org/machine.cgi?id=2",2,,"Jeff Brenner","NitroNimbus, Popotte, SLAMT1LT",2.0,,"MOD",3I15wyv4C6
"Abra Ca Dabra (Gottlieb 1975) Rajo Joey 1.1.0 MOD VR","Abra Ca Dabra (Gottlieb 1975)",Gottlieb,1975,1,EM,,"Fantasy, Wizards, Magic","http://www.ipdb.org/machine.cgi?id=2",2,,"Jeff Brenner","Rajo Joey, Leon Alexanian, Rawd, Leojreimroc, Sixtoe, Batch",1.1.0,,"VR, MOD",oND_OAxH
"Abra Ca Dabra (Gottlieb 1975) Popotte 2.0","Abra Ca Dabra (Gottlieb 1975)",Gottlieb,1975,1,EM,,"Fantasy, Wizards, Magic","http://www.ipdb.org/machine.cgi?id=2",2,,"Jeff Brenner","Popotte, SLAMT1LT",2.0,,,WMlEgQM2O3
"Abra Ca Dabra (Gottlieb 1975) Batch 1.1","Abra Ca Dabra (Gottlieb 1975)",Gottlieb,1975,1,EM,,"Fantasy, Wizards, Magic","http://www.ipdb.org/machine.cgi?id=2",2,,"Jeff Brenner","Batch, Pinuck, BorgDog, HauntFreaks",1.1,,,VcgDWPC7
"Abra Ca Dabra (Gottlieb 1975) Popotte 1.01","Abra Ca Dabra (Gottlieb 1975)",Gottlieb,1975,1,EM,,"Fantasy, Wizards, Magic","http://www.ipdb.org/machine.cgi?id=2",2,,"Jeff Brenner","Popotte, SLAMT1LT",1.01,,,8opN48IpkJ
"Accept (Original 2019) Batch 1.2","Accept (Original 2019)",Original,2019,,SS,,"Music, Heavy Metal",,,,,"Batch, Thalamus, Kalavera, Xenonph, Flupper, Kiwi, RetroBash, Zanny, JPSalas",1.2,algar_l1,"Music",kbl7AgR8
"Ace High (Gottlieb 1957) JPSalas 1.0.1","Ace High (Gottlieb 1957)",Gottlieb,1957,1,EM,,"Cards, Gambling","https://www.ipdb.org/machine.cgi?id=7",7,,"Wayne Neyens","JPSalas, Halen",1.0.1,,,TOF-LubuVs
"Ace High (Gottlieb 1957) Popotte 1.02","Ace High (Gottlieb 1957)",Gottlieb,1957,1,EM,,"Cards, Gambling","https://www.ipdb.org/machine.cgi?id=7",7,,"Wayne Neyens","Popotte, Carlos Guizzo, Luiz Culik",1.02,,,s-0YrAh4lu
"Ace Ventura - Pet Detective (Original 2019) Ivantba 1.0 MOD","Ace Ventura - Pet Detective (Original 2019)",Original,2019,4,SS,,"Movie, Comedy",,,,,"Ivantba, JPSalas",1.0,stest,"MOD",kXXV7M26
"Ace of Speed (Original 2019) Takut 1.1 VR","Ace of Speed (Original 2019)",Original,2019,4,SS,,"Auto Racing",,,,,"Takut, Franck Hollinger (Mussinger)",1.1,mousn_l4,"VR",xGPfkywEpw
"Ace of Speed (Original 2019) Franck Hollinger (Mussinger) 1.0.1 MOD","Ace of Speed (Original 2019)",Original,2019,4,SS,,"Auto Racing",,,,,"Franck Hollinger (Mussinger), Herweh, David Vicente, David Maldonado, JPJ, ScottyWic, Rik Laubach, Vero, Vogliadicane, Nailbuster",1.0.1,mousn_l4,"MOD",LMOYSJWc
"Aces & Kings (Williams 1970) Mustang1961 1.11 MOD","Aces & Kings (Williams 1970)",Williams,1970,4,EM,,"Cards, Gambling","https://www.ipdb.org/machine.cgi?id=11",11,,"Steve Kordek","Mustang1961, Albert, -=Kees=-",1.11,,"MOD",XeD4nblFnd
"Aces & Kings (Williams 1970) Albert 1.0 MOD","Aces & Kings (Williams 1970)",Williams,1970,4,EM,,"Cards, Gambling","https://www.ipdb.org/machine.cgi?id=11",11,,"Steve Kordek","Albert, -=Kees=-",1.0,,"MOD",SUU4-B4o
"Aces & Kings (Williams 1970) -=Kees=- 1.11","Aces & Kings (Williams 1970)",Williams,1970,4,EM,,"Cards, Gambling","https://www.ipdb.org/machine.cgi?id=11",11,,"Steve Kordek","-=Kees=-",1.11,,,RYeImzsV
"Aces High (Bally 1965) Mustang1961 2.1 MOD","Aces High (Bally 1965)",Bally,1965,4,EM,,"Cards, Gambling, Poker, Riverboat","http://www.ipdb.org/machine.cgi?id=9",9,,"Ted Zale","Mustang1961, Loserman76, -=Kees=-",2.1,,"MOD",0SGree1V
"Aces High (Bally 1965) Dakarx 1.10 MOD","Aces High (Bally 1965)",Bally,1965,4,EM,,"Cards, Gambling, Poker, Riverboat","http://www.ipdb.org/machine.cgi?id=9",9,,"Ted Zale","Dakarx, -=Kees=-",1.10,,"MOD",YhgwKQxZ
"Aces High (Bally 1965) Loserman76 1.0 MOD","Aces High (Bally 1965)",Bally,1965,4,EM,,"Cards, Gambling, Poker, Riverboat","http://www.ipdb.org/machine.cgi?id=9",9,,"Ted Zale","Loserman76, -=Kees=-",1.0,,"MOD",UgZui8Mfwk
"Aces High (Bally 1965) -=Kees=- 1.00","Aces High (Bally 1965)",Bally,1965,4,EM,,"Cards, Gambling, Poker, Riverboat","http://www.ipdb.org/machine.cgi?id=9",9,,"Ted Zale","-=Kees=-",1.00,,,9nVwCL1T
"Action (Exhibit Supply Company 1943) Francisco Pozo 1.1","Action (Exhibit Supply Company 1943)",Exhibit Supply Company,1943,1,EM,,"Flipperless","https://www.ipdb.org/machine.cgi?id=3839",3839,,,"Francisco Pozo",1.1,,,mJc8qRkO49
"Table 29","Adventure Land (Zen Studios 2017)",Zen Studios,2017,4,,,"Fantasy",,,,"Thomas Crofts","Zen Studios",,,,xFgomm2pwP
"Amusement_Park","Adventure Land (Zen Studios 2017)",Zen Studios,2017,4,,,"Fantasy",,,,"Thomas Crofts","Zen Studios",,,,bYA3xjuh
"Adventure Time - Rainy Day Daydream (Original 2022) User42 1.0","Adventure Time - Rainy Day Daydream (Original 2022)",Original,2022,,SS,,"Animation, Kids",,,,,"User42, Rascal, Kevinleedrum, Mfuegemann, Bigus1",1.0,,"Kids",Q6YhRd-a
"Adventures of Rocky and Bullwinkle and Friends (Data East 1993) Cyberpez 1.0.6 VR","Adventures of Rocky and Bullwinkle and Friends (Data East 1993)",Data East,1993,4,SS,,"Cartoon, Kids","http://www.ipdb.org/machine.cgi?id=23",23,,"Tim Seckel","Cyberpez, Scottacus, TastyWasps, Passion4Pins, Arvid, Sliderpoint, Wrd1972, Rothbauerw, Dark, FBX, TheMotherBrain, DJRobX, RustyCardores",1.0.6,rab_320,"Kids, Hybrid, VR, nFozzy, Fleep",ncBxxDuBlr
"Adventures of Rocky and Bullwinkle and Friends (Data East 1993) Bigus1 1.0","Adventures of Rocky and Bullwinkle and Friends (Data East 1993)",Data East,1993,4,SS,,"Cartoon, Kids","http://www.ipdb.org/machine.cgi?id=23",23,,"Tim Seckel","Bigus1, Cyberpez",1.0,rab_320,"Kids",Yw5N-AQlOq
"Adventures of Rocky and Bullwinkle and Friends (Data East 1993) Arvid 1.1.0 SSF MOD VR","Adventures of Rocky and Bullwinkle and Friends (Data East 1993)",Data East,1993,4,SS,,"Cartoon, Kids","http://www.ipdb.org/machine.cgi?id=23",23,,"Tim Seckel","Arvid, Sixtoe, Cyberpez, Wrd1972, Rothbauerw, Dark, Zany, Fbx, nFozzy, DJRobX, RustyCardores, SliderPoint",1.1.0,rab_320,"VR, MOD, SSF, Kids",z3Ef1O5mTI
"Adventures of Rocky and Bullwinkle and Friends (Data East 1993) Cyberpez 1.0 SSF","Adventures of Rocky and Bullwinkle and Friends (Data East 1993)",Data East,1993,4,SS,,"Cartoon, Kids","http://www.ipdb.org/machine.cgi?id=23",23,,"Tim Seckel","Cyberpez, Wrd1972, Rothbauerw, Dark, Zany, Fbx, nFozzy, DJRobX, RustyCardores, SliderPoint",1.0,rab_320,"SSF, Kids",7W3h9k3e
"Adventures of Rocky and Bullwinkle and Friends (Data East 1993) Requiem 1.0","Adventures of Rocky and Bullwinkle and Friends (Data East 1993)",Data East,1993,4,SS,,"Cartoon, Kids","http://www.ipdb.org/machine.cgi?id=23",23,,"Tim Seckel","Requiem, Zedonius",1.0,rab_320,"Kids",VofSUvzX
"Adventures of Rocky and Bullwinkle and Friends (Data East 1993) Zedonius 1.0 SSF MOD","Adventures of Rocky and Bullwinkle and Friends (Data East 1993)",Data East,1993,4,SS,,"Cartoon, Kids","http://www.ipdb.org/machine.cgi?id=23",23,,"Tim Seckel","Zedonius, RustyCardores",1.0,rab_320,"SSF, MOD, Kids",lAd7NJam
"Aerobatics (Zaccaria 1977) Alois 1.0","Aerobatics (Zaccaria 1977)",Zaccaria,1977,1,EM,,"Aviation","https://www.ipdb.org/machine.cgi?id=24",24,,,"Alois",1.0,,,HTXFS26o
"Aerosmith (Original 2023) Allknowing2012 1.02 VR","Aerosmith (Original 2023)",Original,2023,,SS,,"Music","https://www.ipdb.org/machine.cgi?id=6370",6370,,"John Borg","Allknowing2012, Drik333, EBisLit, Mike Da Spike",1.02,,"FlexDMD, Hybrid, VR, FSS, Scorbit",UYsEyTmIhb
